"","Season1","Season2","Season3","Season4","quarter","week_num","Pre_weaning_mortality","MYCOatPlacement","PRRSatPlacement","avg_parity_at_farrow3","Lactation_days3","LateralCoronavirus","LateralPRRS","LateralEnteric","OtherHealthIssue","mortality_60days"
"2192",1,0,0,0,1,7,0.127272,0,0,4.3207058242843,15.6034118953603,0,0,0,0,5.44944570589021
"2193",1,0,0,0,1,7,0.200227,1,1,4.58684083678781,16.9179890099296,1,0,0,0,8.57314148681055
"2194",1,0,0,0,1,7,0.200227,1,1,4.58684083678781,16.9179890099296,0,0,0,0,9.78657950394155
"2195",1,0,0,0,1,7,0.127272,0,0,4.3207058242843,15.6034118953603,0,0,0,0,2.20803405160947
"2196",1,0,0,0,1,8,0.111199,0,1,4.5,17.3,1,0,0,0,6.29708325284914
"2197",1,0,0,0,1,8,0.193967,1,1,4.7,22.3,0,0,0,0,6.54097729896114
"2198",1,0,0,0,1,8,0.214774,0,0,2.79930421337456,20.5009277155006,0,1,0,0,1.88447357640311
"2199",1,0,0,0,1,8,0.11722,0,1,3.2,16.2,1,0,0,0,4.35771125426298
"2200",1,0,0,0,1,8,0.193967,1,1,4.7,22.3,0,0,0,0,7.03883495145631
"2201",1,0,0,0,1,8,0.121986,1,1,5.60228525422679,21.3200161020623,0,0,1,0,2.57718120805369
"2202",1,0,0,0,1,9,0.1208,0,0,3.89985144837831,17.1017826194603,0,0,0,0,4.6918123275069
"2203",1,0,0,0,1,9,0.123481,0,0,3.5,15.6,0,0,0,0,1.63411717815863
"2204",1,0,0,0,1,9,0.125351,1,1,4.50237578650466,17.0737795617271,0,0,0,0,2.38319962246343
"2205",1,0,0,0,1,9,0.156097,1,1,3.45082860385925,18.973484676504,0,0,0,0,9.12192902638762
"2206",1,0,0,0,1,9,0.167573,1,1,4.5,19.6,0,0,0,0,10.1059494702526
"2207",1,0,0,0,1,9,0.123481,0,0,3.5,15.6,0,0,0,0,1.12687813021703
"2208",1,0,0,0,1,9,0.119917,1,0,3.6502511627907,16.6028465116279,1,0,0,0,4.59551842005317
"2209",1,0,0,0,1,7,0.134328,0,1,4.1,19.6,1,0,0,0,2.26608187134503
"2210",1,0,0,0,1,8,0.214774,0,0,2.79930421337456,20.5009277155006,0,1,0,0,1.26782884310618
"2211",1,0,0,0,1,8,0.142225,1,1,3.2,19.8,0,0,0,0,10.762679055362
"2212",1,0,0,0,1,9,0.137557,0,1,4.5,17.7,1,0,0,0,13.9702568724651
"2213",1,0,0,0,1,10,0.161875,1,1,3.8878612716763,18.2248554913295,0,0,0,0,7.33424603950714
"2214",1,0,0,0,1,9,0.119917,1,0,3.6502511627907,16.6028465116279,1,1,0,0,4.50867052023121
"2215",1,0,0,0,1,10,0.129411,1,0,5,20.2,0,0,0,0,1.71406310868718
"2216",1,0,0,0,1,5,0.187744,0,0,4.2,16.2,0,0,0,0,1.6606906963578
"2217",1,0,0,0,1,7,0.126637,0,1,4.2,18.5,0,0,0,0,2.70941521788214
"2218",1,0,0,0,1,8,0.120505,1,1,5.4,16.4,0,0,0,0,12.4617402710975
"2219",1,0,0,0,1,9,0.167573,1,1,4.5,19.6,0,0,0,0,9.99618466234262
"2220",1,0,0,0,1,9,0.113228,1,1,3.7,16.1,0,0,0,0,6.86600221483942
"2221",1,0,0,0,1,10,0.169766,0,0,2.53251864125932,19.9374896437448,0,0,0,0,3.57630979498861
"2222",1,0,0,0,1,11,0.117007,1,1,3.50389105058366,17.6964980544747,0,0,0,0,4.55062571103527
"2223",1,0,0,0,1,11,0.11562,1,1,3.3,26.5,0,0,0,0,4.46816923685251
"2224",1,0,0,0,1,7,0.115323,1,0,4.4467758444217,17.2202661207779,0,1,0,0,3.00146412884334
"2225",1,0,0,0,1,8,0.19964,1,1,6.20048654308062,21.3352097062265,0,0,0,0,0.690233518255709
"2226",1,0,0,0,1,9,0.134428,1,1,4,19,0,0,0,0,5.8220310949388
"2227",1,0,0,0,1,9,0.113228,1,1,3.7,16.1,0,0,0,0,8.76052027543994
"2228",1,0,0,0,1,8,0.142225,1,1,3.2,19.8,0,0,0,0,9.89385898407885
"2229",1,0,0,0,1,9,0.125351,1,1,4.50237578650466,17.0737795617271,0,0,0,0,2.41395793499044
"2230",1,0,0,0,1,9,0.118982,1,1,3.24768978401531,15.4003554178438,1,0,0,0,25.9098428453267
"2231",1,0,0,0,1,12,0.147931,0,1,3.7,19.8,0,0,1,0,4.01459854014599
"2232",1,0,0,0,1,11,0.156605,1,1,3.5,19.2,0,0,0,0,13.6945071482318
"2233",1,0,0,0,1,10,0.130399,1,0,3.69928673323823,15.1539229671897,0,0,0,0,4.51550387596899
"2234",1,0,0,0,1,10,0.135202,1,0,5,21.3,0,0,0,0,3.32559938128384
"2235",1,0,0,0,1,11,0.166581,1,1,4.69731294374659,22.1708465319498,1,0,0,0,9.20492721164614
"2236",1,0,0,0,1,11,0.111948,1,1,5.4,18.1,0,0,0,0,2.2360248447205
